IDfg,Name,Team,G,W,L,QS,CG,ShO,SV,HLD,BS,IP,H_pitch,ER,HR_pitch,BB_pitch,HBP_pitch,SO_pitch,AB,H_hit,1B,2B,3B,HR_hit,R,RBI,BB_hit,SO_hit,HBP_hit,SF,SH,SB,CS
13324,Ildemaro Vargas,WSN,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,67,50,16,0,1,21,30,19,31,2,5,5,9,4
24496,DaShawn Keirsey Jr.,MIN,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,0,0,1,1,1,0,1,1,0,0,0,0
25524,Aaron Schunk,COL,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,22,17,3,0,2,14,7,4,31,0,0,0,0,1
25505,Cade Marlowe,SEA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,0,1,0,1,1,0,0,0,0,0
21496,Brandon Lockridge,SDP,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,1,4,1,0,4,0,0,0,2,0
20505,Drew Waters,KCR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,2,1,0,0,2,1,2,6,1,0,0,0,0
31781,Jackson Holliday,BAL,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,36,25,4,2,5,28,23,15,69,2,1,0,4,0
19722,Carlos Narvaez,NYY,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,0,0,0,0,0,2,6,0,0,0,0,0
27883,Thomas Saggese,STL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,10,7,2,0,1,5,4,2,14,1,0,0,0,0
20447,Enoli Paredes,- - -,18,1,0,0,0,0,1,3,0,21.2,13,4,0,10,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29487,Blake Dunn,CIN,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,2,1,0,1,8,1,2,11,1,0,0,2,0
15654,Billy McKinney,PIT,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,4,1,0,0,4,2,2,13,1,0,0,0,0
27464,Dillon Dingler,DET,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,14,6,5,2,1,2,11,3,30,0,0,0,0,0
17620,Myles Straw,CLE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,2,0,0,0,0,0,0,2,0
20540,Jose Devers,MIA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0
24451,J.P. Martinez,ATL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,1,0,0,2,0,0,4,0,0,0,1,0
18887,Seby Zavala,SEA,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,3,2,0,1,4,2,3,16,0,0,1,0,0
19802,Jhonny Pereda,MIA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,9,9,0,0,0,2,4,0,10,1,0,0,0,0
17992,David Fletcher,ATL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,0,0,2,0,1,0,1,0,0,0
23968,Jorge Barrosa,ARI,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,1,2,0,0,3,1,0,2,0,0,1,1,0
22209,Sam Huff,TEX,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0
16959,Eddy Alvarez,NYM,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,1,2,1,0,0,0,0
19643,Daniel Johnson,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23250,David Banuelos,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23557,Chris Roller,MIL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27698,Eric Yang,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21955,Yerry Rodriguez,- - -,16,1,0,0,0,0,0,0,0,21.2,26,21,7,13,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24782,David Villar,SFG,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,4,4,0,1,3,4,1,13,0,1,0,0,0
20827,Michael Petersen,- - -,16,3,1,0,0,0,0,1,1,19.2,21,13,3,11,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10441,Jon Singleton,HOU,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,83,56,13,1,13,46,42,47,111,0,3,0,0,0
21871,Jerar Encarnacion,SFG,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,28,18,5,0,5,13,19,5,34,0,1,0,1,0
15464,Hunter Renfroe,KCR,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,88,55,18,0,15,44,52,36,84,2,1,0,1,1
21497,Luken Baker,STL,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,3,1,1,2,3,10,7,11,0,2,0,1,0
27624,Walter Pennington,- - -,16,1,0,0,0,0,0,0,0,18,19,6,1,11,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25967,Orelvis Martinez,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0
23789,Blaze Alexander,ARI,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,41,31,7,0,3,19,21,15,49,3,0,1,3,1
27504,Nick Yorke,PIT,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,8,6,0,0,2,4,5,4,12,0,1,0,2,0
18607,Jared Walsh,TEX,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,12,9,2,0,1,9,7,7,21,0,0,0,0,0
19198,Yuli Gurriel,KCR,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,13,10,3,0,0,7,6,9,15,0,2,0,1,0
22707,Gustavo Campero,LAA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,11,9,0,1,1,6,6,0,8,2,0,0,3,0
18217,Brett Sullivan,SDP,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,2,0,0,1,1,2,1,4,0,0,0,0,0
12164,Miguel Sano,LAA,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,17,12,3,0,2,9,6,9,36,2,1,0,0,0
